caseid,score,cohort90,female,sclass
13763,33,-2,0,1
13764,32,-2,0,2
13765,20,-2,0,1
13766,24,-2,0,2
13769,25,-2,0,1
19069,22,0,0,2
19071,28,0,0,1
19072,8,0,0,1
19074,46,0,0,1
19076,27,0,0,1
19077,47,0,0,1
19078,30,0,0,3
19079,28,0,0,3
26979,42,6,0,1
26983,26,6,0,3
26984,41,6,0,2
31770,37,8,0,1
31772,46,8,0,1
31774,41,8,0,2
31780,45,8,0,1
31783,41,8,0,3
31784,17,8,0,2
13896,29,-2,0,3
13897,14,-2,0,1
13898,41,-2,0,4
13900,44,-2,0,3
13901,4,-2,0,4
13906,7,-2,0,1
13908,45,-2,0,1
13910,48,-2,0,1
27079,32,6,0,4
27081,42,6,0,2
27082,56,6,0,1
27086,56,6,0,1
27088,39,6,0,1
27090,41,6,0,1
31941,25,8,0,4
31942,30,8,0,4
31943,32,8,0,3
31944,23,8,0,3
31945,33,8,0,3
31947,34,8,0,4
31948,13,8,0,3
31953,29,8,0,2
31957,41,8,0,1
31959,34,8,0,2
31961,41,8,0,3
7728,29,-4,0,3
7729,46,-4,0,1
1455,0,-6,0,3
1456,10,-6,0,3
1458,32,-6,0,1
1459,11,-6,0,3
7976,6,-4,0,3
1537,0,-6,0,2
1538,8,-6,0,1
1539,40,-6,0,2
1540,26,-6,0,3
1544,33,-6,0,3
1545,0,-6,0,3
1547,29,-6,0,3
1549,8,-6,0,3
8066,21,-4,0,4
8067,23,-4,0,3
8068,29,-4,0,1
8073,4,-4,0,1
8074,25,-4,0,1
8366,28,-4,0,1
8367,21,-4,0,1
8368,37,-4,0,1
8369,39,-4,0,2
8370,20,-4,0,1
8371,31,-4,0,1
8372,35,-4,0,1
8373,34,-4,0,2
8374,46,-4,0,1
8375,42,-4,0,1
8376,35,-4,0,2
14487,49,-2,0,1
14488,45,-2,0,4
14489,48,-2,0,1
14490,39,-2,0,2
14491,39,-2,0,2
14492,54,-2,0,2
14493,12,-2,0,1
14494,55,-2,0,1
14495,42,-2,0,1
14496,56,-2,0,1
14497,53,-2,0,2
14498,47,-2,0,1
14499,50,-2,0,2
19663,54,0,0,1
19664,52,0,0,1
19665,46,0,0,1
19666,38,0,0,1
19667,57,0,0,2
19668,56,0,0,1
19669,48,0,0,1
19670,48,0,0,1
19671,44,0,0,1
19672,56,0,0,1
19673,39,0,0,2
19674,36,0,0,4
19675,43,0,0,1
19676,38,0,0,3
19677,53,0,0,1
27515,46,6,0,2
27516,48,6,0,1
27517,42,6,0,1
27518,62,6,0,1
27522,56,6,0,1
27523,37,6,0,2
27526,50,6,0,1
27527,55,6,0,1
27528,56,6,0,1
27530,63,6,0,1
27532,37,6,0,2
27533,56,6,0,1
32765,56,8,0,1
32766,56,8,0,1
32767,54,8,0,1
32769,55,8,0,1
32771,56,8,0,1
32773,47,8,0,1
32776,39,8,0,1
32778,46,8,0,1
32779,51,8,0,1
32780,54,8,0,1
32781,52,8,0,1
32782,61,8,0,1
32786,54,8,0,1
32788,47,8,0,1
32789,53,8,0,1
32792,51,8,0,1
32793,62,8,0,1
32795,46,8,0,2
32796,45,8,0,1
32797,42,8,0,4
32798,45,8,0,2
32800,52,8,0,1
3237,14,-6,0,1
3241,12,-6,0,2
3242,0,-6,0,3
3243,26,-6,0,3
3246,12,-6,0,3
3247,24,-6,0,1
9633,8,-4,0,3
9634,0,-4,0,4
9637,12,-4,0,3
9638,25,-4,0,1
15594,22,-2,0,3
15595,31,-2,0,3
15599,20,-2,0,2
15600,32,-2,0,1
20567,20,0,0,2
10406,22,-4,0,1
10408,39,-4,0,1
10409,4,-4,0,2
10412,20,-4,0,2
16232,25,-2,0,2
16233,36,-2,0,1
16236,15,-2,0,3
16237,32,-2,0,2
21074,43,0,0,2
28872,25,6,0,2
28873,47,6,0,1
28874,51,6,0,1
28876,52,6,0,1
28877,45,6,0,2
28879,34,6,0,1
28880,39,6,0,2
28882,45,6,0,1
28883,38,6,0,2
28885,25,6,0,1
28886,40,6,0,3
28890,38,6,0,3
35096,41,8,0,4
35098,56,8,0,1
35100,53,8,0,2
35103,50,8,0,1
35105,38,8,0,2
35108,41,8,0,2
35110,51,8,0,1
35111,46,8,0,2
35112,29,8,0,1
35114,26,8,0,4
35115,36,8,0,1
35119,41,8,0,1
35120,35,8,0,3
3946,35,-6,0,3
3947,0,-6,0,4
3948,21,-6,0,2
3949,4,-6,0,3
3951,0,-6,0,3
10413,9,-4,0,1
10414,16,-4,0,3
10415,6,-4,0,3
10419,6,-4,0,2
10421,0,-4,0,3
10424,0,-4,0,3
10429,25,-4,0,1
10430,0,-4,0,3
10431,9,-4,0,3
16243,0,-2,0,2
16244,7,-2,0,3
16245,10,-2,0,2
16246,26,-2,0,2
16247,3,-2,0,3
16249,16,-2,0,4
16250,21,-2,0,3
16251,23,-2,0,1
16252,26,-2,0,3
21075,0,0,0,2
21076,17,0,0,3
21077,18,0,0,2
28891,23,6,0,3
28892,10,6,0,3
28893,33,6,0,3
28897,20,6,0,1
35126,50,8,0,3
35128,38,8,0,1
35131,31,8,0,3
4018,7,-6,0,3
4020,23,-6,0,2
4021,48,-6,0,4
4022,51,-6,0,2
4023,50,-6,0,2
4026,17,-6,0,2
4027,0,-6,0,3
4031,5,-6,0,2
4032,15,-6,0,3
4033,0,-6,0,3
4034,30,-6,0,3
4035,45,-6,0,2
4036,5,-6,0,3
4038,21,-6,0,1
10480,25,-4,0,1
10482,9,-4,0,2
10485,21,-4,0,1
10488,12,-4,0,2
10490,27,-4,0,3
10491,55,-4,0,2
10492,0,-4,0,3
16301,31,-2,0,1
16306,49,-2,0,2
21115,25,0,0,2
21116,27,0,0,3
21117,14,0,0,3
21120,8,0,0,4
21122,10,0,0,3
28934,36,6,0,3
28935,17,6,0,4
35201,46,8,0,3
35202,29,8,0,3
35203,27,8,0,3
35204,48,8,0,1
35205,38,8,0,3
35206,35,8,0,2
35207,25,8,0,4
35208,26,8,0,2
5419,67,-6,0,1
5420,23,-6,0,3
5424,19,-6,0,1
5426,31,-6,0,3
5427,40,-6,0,1
5430,42,-6,0,3
5431,3,-6,0,2
5434,0,-6,0,3
5435,35,-6,0,1
5436,48,-6,0,2
5437,26,-6,0,1
5439,23,-6,0,1
5440,40,-6,0,3
11838,22,-4,0,2
11845,39,-4,0,2
11849,31,-4,0,2
11852,52,-4,0,2
11854,39,-4,0,3
17547,46,-2,0,1
17551,22,-2,0,3
17552,53,-2,0,2
22142,35,0,0,2
22144,35,0,0,1
22146,32,0,0,1
29979,29,6,0,1
29980,34,6,0,1
29981,50,6,0,1
29984,52,6,0,1
29985,41,6,0,3
29989,0,6,0,4
37002,45,8,0,1
37003,39,8,0,1
37009,31,8,0,2
37010,30,8,0,2
37011,23,8,0,4
37015,25,8,0,3
37016,51,8,0,4
37017,41,8,0,3
37018,25,8,0,2
37027,31,8,0,4
37028,51,8,0,1
37030,25,8,0,2
5481,23,-6,0,3
5482,18,-6,0,2
5484,19,-6,0,3
5485,0,-6,0,2
5487,24,-6,0,3
5488,32,-6,0,3
5489,37,-6,0,2
5490,0,-6,0,2
5492,26,-6,0,2
5494,20,-6,0,2
5495,0,-6,0,3
5497,7,-6,0,3
11888,10,-4,0,4
11891,15,-4,0,1
11898,6,-4,0,2
17582,38,-2,0,3
17585,38,-2,0,3
17588,23,-2,0,2
17590,22,-2,0,3
17594,18,-2,0,3
17595,40,-2,0,3
22172,9,0,0,2
22173,49,0,0,1
22176,31,0,0,2
22177,43,0,0,4
22179,23,0,0,2
22183,37,0,0,1
30007,42,6,0,3
30009,40,6,0,1
30011,39,6,0,2
30015,43,6,0,1
37056,57,8,0,1
37059,53,8,0,1
37060,34,8,0,3
37061,62,8,0,1
37062,52,8,0,1
37065,40,8,0,2
37066,63,8,0,3
37070,47,8,0,1
37073,41,8,0,1
5599,0,-6,0,3
5604,56,-6,0,2
5606,53,-6,0,1
5608,16,-6,0,2
5609,0,-6,0,1
5610,32,-6,0,2
5612,26,-6,0,3
5614,34,-6,0,2
5616,53,-6,0,3
5617,29,-6,0,2
5618,15,-6,0,2
11995,0,-4,0,2
11997,52,-4,0,1
11999,9,-4,0,1
12004,15,-4,0,1
12005,38,-4,0,2
12006,53,-4,0,1
12011,30,-4,0,1
12012,36,-4,0,1
12013,22,-4,0,1
12015,52,-4,0,1
12016,47,-4,0,1
12017,55,-4,0,1
17688,0,-2,0,1
17695,38,-2,0,2
17698,3,-2,0,2
17703,23,-2,0,2
22259,31,0,0,2
22260,27,0,0,2
22262,26,0,0,1
22264,46,0,0,1
22265,15,0,0,1
22266,45,0,0,1
22267,41,0,0,1
22268,0,0,0,3
22269,36,0,0,1
22270,37,0,0,3
30080,37,6,0,1
30082,48,6,0,4
30084,60,6,0,1
30085,43,6,0,1
30089,54,6,0,1
30090,51,6,0,1
30092,52,6,0,1
30093,56,6,0,1
30097,19,6,0,1
37201,44,8,0,1
37202,51,8,0,1
37203,50,8,0,1
37204,39,8,0,1
37206,40,8,0,2
37207,44,8,0,1
37209,55,8,0,1
37210,58,8,0,1
37211,62,8,0,1
37212,60,8,0,1
37215,46,8,0,1
37216,54,8,0,1
37217,61,8,0,1
37220,51,8,0,1
37224,49,8,0,4
37225,62,8,0,1
37226,46,8,0,1
37228,63,8,0,1
37230,53,8,0,1
5990,10,-6,0,4
5991,40,-6,0,3
5992,43,-6,0,1
5996,14,-6,0,3
5998,0,-6,0,3
5999,36,-6,0,1
12388,32,-4,0,3
12389,0,-4,0,2
17987,32,-2,0,3
17990,6,-2,0,2
17992,24,-2,0,1
17993,0,-2,0,3
17994,41,-2,0,1
17998,7,-2,0,3
18000,8,-2,0,3
22527,19,0,0,1
22529,15,0,0,3
22532,19,0,0,2
22533,14,0,0,4
30313,37,6,0,4
30314,39,6,0,1
30316,43,6,0,1
30317,30,6,0,2
37609,32,8,0,1
37610,25,8,0,1
37612,35,8,0,2
37613,30,8,0,3
37615,37,8,0,1
37616,20,8,0,3
37618,39,8,0,1
37619,24,8,0,1
37625,39,8,0,1
6203,0,-6,0,4
6204,34,-6,0,2
6206,10,-6,0,1
6207,3,-6,0,3
6211,6,-6,0,2
6212,19,-6,0,3
6214,0,-6,0,3
6215,7,-6,0,2
6216,11,-6,0,3
6218,34,-6,0,2
12593,31,-4,0,3
12594,4,-4,0,3
12596,13,-4,0,3
18188,32,-2,0,2
18189,4,-2,0,2
18190,28,-2,0,3
18191,18,-2,0,3
22698,18,0,0,2
30446,41,6,0,1
30448,47,6,0,1
30449,24,6,0,2
30450,37,6,0,3
30452,21,6,0,3
37871,34,8,0,2
37875,30,8,0,3
37876,30,8,0,2
37878,26,8,0,3
37880,28,8,0,2
37881,41,8,0,3
6385,46,-6,0,1
6386,35,-6,0,1
6387,28,-6,0,1
6388,26,-6,0,1
6389,32,-6,0,2
6390,21,-6,0,1
6391,14,-6,0,1
6392,34,-6,0,1
6393,26,-6,0,1
6394,34,-6,0,2
6395,21,-6,0,1
6396,14,-6,0,2
664,0,-6,0,3
665,0,-6,0,2
666,13,-6,0,2
667,35,-6,0,3
669,17,-6,0,2
670,9,-6,0,1
671,39,-6,0,2
673,11,-6,0,2
677,17,-6,0,3
678,46,-6,0,2
680,0,-6,0,1
682,47,-6,0,1
683,40,-6,0,2
687,0,-6,0,1
7145,39,-4,0,3
7149,54,-4,0,1
7150,44,-4,0,2
7151,24,-4,0,3
7155,22,-4,0,1
7158,39,-4,0,1
7161,39,-4,0,1
7165,38,-4,0,2
13490,51,-2,0,2
13491,16,-2,0,1
13492,30,-2,0,3
13493,42,-2,0,2
13494,56,-2,0,1
13495,52,-2,0,2
13497,40,-2,0,1
13499,53,-2,0,2
13502,38,-2,0,2
13503,31,-2,0,1
13504,8,-2,0,4
13505,31,-2,0,3
13506,56,-2,0,1
13510,49,-2,0,1
13514,36,-2,0,1
18866,22,0,0,2
18867,22,0,0,1
18873,49,0,0,1
18877,38,0,0,2
26804,39,6,0,2
26806,32,6,0,1
26807,44,6,0,2
26814,26,6,0,1
26816,15,6,0,2
26819,22,6,0,1
31427,24,8,0,2
31430,40,8,0,3
31431,40,8,0,1
31433,39,8,0,1
31434,40,8,0,2
31436,36,8,0,2
31438,42,8,0,3
31441,33,8,0,1
31446,21,8,0,4
31447,62,8,0,1
31448,56,8,0,1
31449,26,8,0,2
31450,41,8,0,1
31451,36,8,0,1
1332,15,-6,0,3
1333,45,-6,0,2
1334,53,-6,0,1
1335,13,-6,0,4
1336,25,-6,0,3
1337,38,-6,0,2
1338,28,-6,0,3
7848,32,-4,0,3
7851,49,-4,0,1
7852,34,-4,0,1
7853,34,-4,0,1
7855,37,-4,0,2
7857,43,-4,0,3
14085,39,-2,0,2
14086,21,-2,0,2
14088,27,-2,0,1
14090,38,-2,0,2
19323,44,0,0,1
19332,36,0,0,1
27200,56,6,0,1
27201,58,6,0,1
27202,52,6,0,1
27203,47,6,0,1
27205,52,6,0,2
32180,50,8,0,2
32181,34,8,0,1
32182,21,8,0,4
32183,63,8,0,1
32184,46,8,0,2
32189,42,8,0,3
32192,56,8,0,1
32193,47,8,0,1
32196,52,8,0,1
32198,37,8,0,4
32199,55,8,0,1
1718,22,-6,0,2
1721,37,-6,0,1
1723,21,-6,0,2
1724,30,-6,0,3
1726,31,-6,0,4
1727,49,-6,0,1
8249,4,-4,0,3
8254,53,-4,0,2
8255,44,-4,0,1
8256,42,-4,0,2
8257,17,-4,0,2
8258,44,-4,0,1
8260,48,-4,0,1
8263,4,-4,0,3
8264,11,-4,0,2
14386,47,-2,0,1
14391,15,-2,0,3
14392,53,-2,0,2
14393,28,-2,0,1
14394,4,-2,0,3
14395,22,-2,0,2
19580,25,0,0,3
19585,52,0,0,1
27466,23,6,0,4
27467,40,6,0,3
32666,29,8,0,1
32668,40,8,0,2
32671,37,8,0,3
32672,50,8,0,1
1879,30,-6,0,3
1880,18,-6,0,1
1885,53,-6,0,2
1886,10,-6,0,1
1888,52,-6,0,2
1890,43,-6,0,2
1891,22,-6,0,2
1896,19,-6,0,2
1897,43,-6,0,3
1898,56,-6,0,1
1902,7,-6,0,4
1907,44,-6,0,1
8377,9,-4,0,2
8378,13,-4,0,2
8379,12,-4,0,2
8380,8,-4,0,2
8383,32,-4,0,3
8387,34,-4,0,1
8390,40,-4,0,3
8391,35,-4,0,2
8392,68,-4,0,4
8393,48,-4,0,1
8395,26,-4,0,3
8400,49,-4,0,1
14500,23,-2,0,1
14502,3,-2,0,3
14503,59,-2,0,2
14507,8,-2,0,3
14508,30,-2,0,1
14512,40,-2,0,1
14514,25,-2,0,3
14515,27,-2,0,2
14516,29,-2,0,3
19679,0,0,0,2
19680,9,0,0,2
19681,45,0,0,1
19682,24,0,0,2
19690,25,0,0,2
19691,0,0,0,2
27537,56,6,0,4
27539,30,6,0,2
27540,38,6,0,3
27541,43,6,0,2
27544,31,6,0,2
27546,28,6,0,2
27547,29,6,0,3
27548,44,6,0,3
27550,0,6,0,4
27551,35,6,0,2
32802,26,8,0,3
32803,27,8,0,3
32806,18,8,0,4
32809,58,8,0,1
32811,52,8,0,2
32812,42,8,0,1
32813,41,8,0,2
32815,37,8,0,2
32816,57,8,0,3
2240,26,-6,0,4
2243,32,-6,0,1
8674,33,-4,0,2
8676,8,-4,0,2
8677,0,-4,0,2
8682,40,-4,0,1
14776,34,-2,0,1
14780,36,-2,0,3
19890,17,0,0,1
19891,0,0,0,2
19893,47,0,0,1
19894,37,0,0,1
19896,31,0,0,1
27752,43,6,0,1
27753,41,6,0,1
27754,33,6,0,3
27758,22,6,0,2
33156,41,8,0,2
33157,25,8,0,2
33158,56,8,0,4
33164,53,8,0,1
33165,42,8,0,3
19916,54,0,0,1
19919,26,0,0,1
19924,37,0,0,1
27773,36,6,0,1
27774,44,6,0,1
27775,20,6,0,3
27777,45,6,0,2
27779,28,6,0,2
27780,60,6,0,1
27781,23,6,0,3
27783,49,6,0,2
33182,42,8,0,1
33183,49,8,0,1
33184,60,8,0,1
33185,59,8,0,1
33188,31,8,0,3
33189,35,8,0,3
33192,40,8,0,1
33193,12,8,0,4
33194,42,8,0,3
33195,62,8,0,1
33197,26,8,0,2
33199,16,8,0,2
33200,55,8,0,1
2702,47,-6,0,4
9104,23,-4,0,3
9105,23,-4,0,3
9106,22,-4,0,3
9110,46,-4,0,4
15135,43,-2,0,2
15140,30,-2,0,2
20182,53,0,0,1
20184,32,0,0,2
20189,46,0,0,4
20192,21,0,0,1
28024,53,6,0,1
28026,56,6,0,1
28028,46,6,0,1
28029,64,6,0,1
28032,42,6,0,1
28033,36,6,0,1
33603,47,8,0,2
33604,34,8,0,2
33605,42,8,0,1
33610,53,8,0,1
33611,60,8,0,1
33612,58,8,0,2
33614,35,8,0,1
33617,47,8,0,1
2733,37,-6,0,3
2734,47,-6,0,1
2735,8,-6,0,2
2736,41,-6,0,3
2738,7,-6,0,2
2742,34,-6,0,1
2743,15,-6,0,2
2744,0,-6,0,3
2745,18,-6,0,2
2747,0,-6,0,3
9153,25,-4,0,2
9156,18,-4,0,3
9157,39,-4,0,1
9160,48,-4,0,3
9161,48,-4,0,1
9162,6,-4,0,3
9164,19,-4,0,2
9165,11,-4,0,2
9166,52,-4,0,1
9167,0,-4,0,2
9169,25,-4,0,3
9172,45,-4,0,3
15171,45,-2,0,2
15172,34,-2,0,1
15173,38,-2,0,1
15174,6,-2,0,1
15177,33,-2,0,2
15180,21,-2,0,1
15181,46,-2,0,2
15182,0,-2,0,2
15184,49,-2,0,2
20210,31,0,0,1
20211,0,0,0,1
20212,52,0,0,1
20213,36,0,0,2
20214,43,0,0,1
20215,15,0,0,2
20218,27,0,0,1
20219,40,0,0,2
20220,4,0,0,3
20221,24,0,0,1
20222,30,0,0,2
20223,54,0,0,1
20224,41,0,0,3
20226,0,0,0,2
20227,0,0,0,1
20229,21,0,0,3
28056,36,6,0,2
28059,17,6,0,2
28061,23,6,0,3
28063,29,6,0,1
28064,44,6,0,3
28065,32,6,0,3
28066,35,6,0,1
28068,33,6,0,3
28069,49,6,0,2
28070,60,6,0,1
28071,58,6,0,1
28072,46,6,0,1
28073,57,6,0,1
28074,38,6,0,1
28075,47,6,0,1
33659,59,8,0,2
33662,58,8,0,3
33663,54,8,0,2
33665,45,8,0,1
33666,31,8,0,2
33673,53,8,0,2
33674,35,8,0,3
33676,57,8,0,2
33681,48,8,0,2
33682,37,8,0,3
33685,28,8,0,1
33687,38,8,0,3
33691,53,8,0,1
33692,48,8,0,2
2848,0,-6,0,2
2849,52,-6,0,4
2852,34,-6,0,2
2854,27,-6,0,2
2856,55,-6,0,1
2857,0,-6,0,2
2858,26,-6,0,1
9240,23,-4,0,2
9241,45,-4,0,2
9242,15,-4,0,2
9249,40,-4,0,2
9251,34,-4,0,1
15257,41,-2,0,4
15259,10,-2,0,3
15260,45,-2,0,2
15261,26,-2,0,3
15262,20,-2,0,2
15267,9,-2,0,3
15268,46,-2,0,1
20287,35,0,0,3
20290,10,0,0,3
20294,20,0,0,1
20295,38,0,0,2
20296,25,0,0,2
28137,60,6,0,1
28139,26,6,0,2
28142,26,6,0,3
28143,46,6,0,2
28144,30,6,0,3
33788,43,8,0,2
33792,29,8,0,3
33793,61,8,0,1
33794,33,8,0,2
3630,53,-6,0,2
3631,34,-6,0,2
3633,35,-6,0,1
3634,24,-6,0,4
3636,24,-6,0,2
10049,31,-4,0,2
10051,2,-4,0,1
10053,44,-4,0,1
10054,39,-4,0,1
15955,37,-2,0,1
15959,0,-2,0,2
15960,39,-2,0,1
15965,46,-2,0,2
20821,30,0,0,3
20824,34,0,0,1
20825,0,0,0,2
28642,47,6,0,1
28643,40,6,0,4
28644,55,6,0,2
28647,53,6,0,1
28650,29,6,0,2
28651,40,6,0,1
28652,45,6,0,2
34641,47,8,0,3
34644,54,8,0,1
34651,34,8,0,4
3761,50,-6,0,2
3765,0,-6,0,2
10179,0,-4,0,2
10180,29,-4,0,2
10181,16,-4,0,2
16049,26,-2,0,2
16050,46,-2,0,2
16052,11,-2,0,2
20900,43,0,0,1
20901,19,0,0,3
20902,44,0,0,2
28743,45,6,0,2
28745,49,6,0,1
28747,35,6,0,2
28748,55,6,0,3
34803,41,8,0,3
34804,41,8,0,2
34805,55,8,0,1
34807,29,8,0,3
34809,55,8,0,1
34810,40,8,0,3
34811,32,8,0,4
34812,39,8,0,1
34813,37,8,0,1
34814,29,8,0,1
34815,51,8,0,1
34816,42,8,0,1
4367,46,-6,0,3
4370,55,-6,0,1
4371,14,-6,0,1
10846,47,-4,0,2
10847,29,-4,0,1
10848,39,-4,0,1
10849,21,-4,0,2
16624,20,-2,0,1
16630,28,-2,0,1
16632,51,-2,0,1
21375,5,0,0,3
21376,50,0,0,1
21377,40,0,0,2
29210,48,6,0,1
29212,48,6,0,1
29215,24,6,0,4
29216,55,6,0,1
29217,40,6,0,1
29218,50,6,0,1
29219,51,6,0,1
29225,55,6,0,1
29227,45,6,0,1
29228,30,6,0,4
35671,33,8,0,1
35672,53,8,0,1
35673,31,8,0,2
35677,38,8,0,2
35678,40,8,0,3
35679,28,8,0,1
35680,44,8,0,1
35681,37,8,0,1
35682,34,8,0,1
35685,53,8,0,1
35686,47,8,0,4
35687,44,8,0,1
35689,46,8,0,4
4388,0,-6,0,2
4391,0,-6,0,3
4393,18,-6,0,1
4394,31,-6,0,2
4396,6,-6,0,2
4399,43,-6,0,2
4400,49,-6,0,2
4403,63,-6,0,1
4404,36,-6,0,2
10876,0,-4,0,3
10880,0,-4,0,4
10882,0,-4,0,4
10883,10,-4,0,3
10885,6,-4,0,1
10886,46,-4,0,2
10889,51,-4,0,2
10890,47,-4,0,1
10891,6,-4,0,4
10892,8,-4,0,2
10894,0,-4,0,2
10896,0,-4,0,1
10897,16,-4,0,2
10899,51,-4,0,2
10904,37,-4,0,3
16649,9,-2,0,2
16650,6,-2,0,1
16651,25,-2,0,1
16653,7,-2,0,2
16654,8,-2,0,2
16655,40,-2,0,3
16658,4,-2,0,3
16659,0,-2,0,1
16662,37,-2,0,3
16667,9,-2,0,2
16670,45,-2,0,2
16671,0,-2,0,2
16675,43,-2,0,2
16676,8,-2,0,2
16677,32,-2,0,1
16678,36,-2,0,3
16681,28,-2,0,2
21394,24,0,0,3
21399,0,0,0,2
21400,29,0,0,3
21402,0,0,0,2
21404,0,0,0,3
21405,0,0,0,2
21406,25,0,0,2
21408,37,0,0,3
21411,29,0,0,3
29241,43,6,0,1
29242,49,6,0,3
29245,38,6,0,3
29250,23,6,0,3
29253,31,6,0,2
29254,33,6,0,2
35723,46,8,0,1
35724,32,8,0,2
35725,30,8,0,2
35726,34,8,0,2
35731,16,8,0,2
35738,33,8,0,3
35740,50,8,0,1
35742,39,8,0,1
35745,0,8,0,3
35746,40,8,0,2
35748,4,8,0,3
35750,24,8,0,4
5130,11,-6,0,4
5131,16,-6,0,3
5133,15,-6,0,3
5134,42,-6,0,2
5135,28,-6,0,3
5141,44,-6,0,2
5143,12,-6,0,3
5144,53,-6,0,3
5147,24,-6,0,2
5148,52,-6,0,3
5149,42,-6,0,2
5152,53,-6,0,3
5154,9,-6,0,3
11547,15,-4,0,3
11549,13,-4,0,3
11550,47,-4,0,1
11552,54,-4,0,2
11555,52,-4,0,1
11559,31,-4,0,2
11560,13,-4,0,3
11562,0,-4,0,3
11568,53,-4,0,1
11570,4,-4,0,3
11571,34,-4,0,2
17278,45,-2,0,1
17280,33,-2,0,3
17281,24,-2,0,3
17284,5,-2,0,1
17288,15,-2,0,4
17289,37,-2,0,2
17294,11,-2,0,1
17298,46,-2,0,1
21912,37,0,0,2
21913,36,0,0,1
21914,33,0,0,1
21915,25,0,0,3
21916,23,0,0,3
21920,38,0,0,2
21921,34,0,0,2
21922,0,0,0,3
21923,40,0,0,3
21925,0,0,0,3
21927,6,0,0,3
21929,38,0,0,1
29774,39,6,0,1
29776,29,6,0,4
29777,3,6,0,3
29779,29,6,0,4
29782,54,6,0,1
29783,39,6,0,2
29784,38,6,0,2
29789,53,6,0,2
29790,55,6,0,1
29791,22,6,0,3
29792,21,6,0,3
36635,61,8,0,1
36636,3,8,0,2
36637,48,8,0,2
36638,55,8,0,1
36640,58,8,0,4
36642,26,8,0,1
36644,43,8,0,1
36646,40,8,0,2
36647,62,8,0,1
36648,16,8,0,2
